SID|DEPT_DIV|COURSE_NUM|Grade|Year|Quarter|CR|Date
S000010724|BSTEC|155|S|2008-2009|Spring|4|5/26/2009
S000010724|BSTEC|129|4|2008-2009|Spring|3|5/26/2009
S000010724|BSTEC|104|4|2008-2009|Spring|3|5/26/2009
S000010724|JOBDV|155|S|2008-2009|Spring|1|5/26/2009
S000010724|ABE|95|S|2008-2009|Spring|1|5/26/2009
S000010724|BSTEC|130|3.2|2009-2010|Summer|5|7/26/2009
S000010724|BSTEC|120|3.1|2009-2010|Summer|4|7/26/2009
S000010724|BRDGE|88|3.4|2009-2010|Summer|3|7/26/2009
S000010724|BSTEC|206|3.8|2009-2010|Fall|5|10/1/2009
S000010724|BSTEC|294|3.9|2009-2010|Fall|3|10/1/2009
S000010724|BSTEC|116|3.3|2009-2010|Fall|3|10/1/2009
S000010724|BRDGE|108|2.5|2009-2010|Fall|1|10/1/2009
S000010724|BSTEC|118|4|2009-2010|Winter|5|2/5/2010
S000010724|BSTEC|106|3.8|2009-2010|Winter|5|2/5/2010
S000010724|BSTEC|155|S|2009-2010|Winter|3|2/5/2010
S000010724|BSTEC|115|4|2009-2010|Winter|3|2/5/2010
S000010724|ABE|95|S|2009-2010|Winter|1|2/5/2010
S000010724|BSTEC|218|4|2009-2010|Spring|5|5/25/2010
S000010724|BSTEC|109|4|2009-2010|Spring|5|5/25/2010
S000010724|BUS|291|S|2009-2010|Spring|3|5/25/2010
S000010724|BUS|290|S|2009-2010|Spring|1|5/25/2010
S000010724|BSTEC|224|3.9|2010-2011|Summer|5|7/10/2010
S000010724|BSTEC|107|2|2010-2011|Summer|5|7/10/2010
S000010724|AHE|115|S|2010-2011|Summer|1|7/10/2010
S000010724|SHS|170|4|2010-2011|Summer|1|7/10/2010
S000010724|ACCT|101|3.4|2010-2011|Fall|5|11/27/2010
S000010724|ACCT|155|S|2010-2011|Fall|3|11/27/2010
S000010724|BSTEC|153|4|2010-2011|Fall|3|11/27/2010
S000010724|ABE|95|S|2010-2011|Fall|1|11/27/2010
S000010724|BSTEC|110|4|2010-2011|Winter|5|1/11/2011
S000010724|BUS|130|3.5|2010-2011|Winter|5|1/11/2011
S000010724|AHE|116|3.6|2010-2011|Winter|4|1/11/2011
S000010724|AHE|155|S|2010-2011|Winter|2|1/11/2011
S000014651|MATH|80|4|2010-2011|Fall|5|11/27/2010
S000014651|ART&|100|4|2010-2011|Winter|5|1/11/2011
S000014651|MATH|90|4|2010-2011|Winter|5|1/11/2011
S000016468|SOCIO|110|3.9|2000-2001|Summer|5|7/9/2000
S000016468|ENGL|105|W|2000-2001|Winter|5|1/17/2001
S000016468|MATH|080I|3.7|2000-2001|Winter|2|1/17/2001
S000016468|ENGL|105|3.4|2000-2001|Spring|5|4/29/2001
S000016468|MATH|080I|2|2000-2001|Spring|3|4/29/2001
S000016468|POLSC|200|3.9|2001-2002|Summer|5|8/21/2001
S000016468|MATH|90|3|2001-2002|Summer|5|8/21/2001
S000016468|HIST|111|3.9|2000-2001|Fall|5|11/6/2001
S000016468|MATH|060I|3.7|2000-2001|Fall|5|11/6/2001
S000016468|BSTEC|130|3.6|2004-2005|Winter|5|2/22/2005
S000016468|ART|180|4|2006-2007|Spring|5|5/20/2007
S000016468|COMSV|15|missing data|2007-2008|Fall|0|10/31/2007
S000016468|HORT|102|3.6|2009-2010|Fall|4|10/1/2009
S000016468|HORT|170|3.8|2009-2010|Fall|3|10/1/2009
S000016468|COMSV|15|missing data|2008-2009|Fall|0|11/8/2009
S000016468|HORT|278|3|2009-2010|Winter|4|2/5/2010
S000016468|HORT|264|3.4|2009-2010|Winter|3|2/5/2010
S000016468|HORT|107|2.6|2009-2010|Winter|2|2/5/2010
S000016468|HORT|107|2.6|2009-2010|Winter|2|2/5/2010
S000016468|HORT|276|3.8|2009-2010|Spring|3.5|5/25/2010
S000016468|HORT|110|3.7|2009-2010|Spring|3|5/25/2010
S000016468|HORT|174|4|2010-2011|Summer|3|7/10/2010
S000016468|HORT|224|3.8|2010-2011|Fall|3|11/27/2010
S000016468|HORT|106|2.7|2010-2011|Fall|3|11/27/2010
S000016468|HORT|120|3.9|2010-2011|Fall|2|11/27/2010
S000016468|HORT|106L|2.7|2010-2011|Fall|2|11/27/2010
S000016468|HORT|262|3.7|2010-2011|Winter|6|1/11/2011
S000050348|BUS|130|4|2008-2009|Spring|5|5/26/2009
S000050348|CONST|141|4|2008-2009|Spring|4|5/26/2009
S000050348|CONST|100|4|2008-2009|Spring|4|5/26/2009
S000050348|ENGL&|101|4|2009-2010|Summer|5|7/26/2009
S000050348|PSYC&|100|4|2009-2010|Summer|5|7/26/2009
S000050348|MATH|060I|3.6|2009-2010|Summer|5|7/26/2009
S000050348|HLTH|100|4|2009-2010|Summer|3|7/26/2009
S000050348|SPAN&|121|W|2009-2010|Fall|5|10/1/2009
S000050348|ENGL&|102|4|2009-2010|Fall|5|10/1/2009
S000050348|ART&|100|3.8|2009-2010|Fall|5|10/1/2009
S000050348|MATH|80|2.4|2009-2010|Fall|5|10/1/2009
S000050348|SPAN|100|W|2009-2010|Fall|2|10/1/2009
S000050348|MATH|90|V|2009-2010|Winter|5|2/5/2010
S000050348|SPAN&|121|4|2009-2010|Winter|5|2/5/2010
S000050348|SOC&|101|4|2009-2010|Winter|5|2/5/2010
S000050348|SPAN|100|4|2009-2010|Winter|2|2/5/2010
S000050348|GEOG|100|4|2009-2010|Spring|5|5/25/2010
S000050348|SPAN&|122|3.9|2009-2010|Spring|5|5/25/2010
S000050348|MATH|090I|2.2|2009-2010|Spring|3|5/25/2010
S000050348|SPAN&|123|4|2010-2011|Summer|5|7/10/2010
S000050348|CS|115|4|2010-2011|Summer|5|7/10/2010
S000050348|CS&|131|W|2010-2011|Fall|5|11/27/2010
S000050348|ENGL&|111|4|2010-2011|Fall|5|11/27/2010
S000050348|PHYS&|100|2.9|2010-2011|Fall|4|11/27/2010
S000050348|PHYS&|101|2.8|2010-2011|Fall|1|11/27/2010
S000050348|ENGL|151|3.9|2010-2011|Winter|5|1/11/2011
S000050348|CS&|131|2.9|2010-2011|Winter|5|1/11/2011
S000050348|ENVS|105|3.7|2010-2011|Winter|4|1/11/2011
S000050348|ENVS|105L|3.7|2010-2011|Winter|1|1/11/2011
S000087345|BRDGE|93|3.5|2010-2011|Fall|5|11/27/2010
S000087345|MATH|80|3.2|2010-2011|Fall|5|11/27/2010
S000087345|BRDGE|87|4|2010-2011|Fall|2|11/27/2010
S000087345|ENRGY|102|3.5|2010-2011|Winter|5|1/11/2011
S000087345|ENRGY|100|3.8|2010-2011|Winter|3|1/11/2011
S000087345|ENRGY|105|3.5|2010-2011|Winter|3|1/11/2011
S000087345|CIT|110|3.7|2010-2011|Winter|2|1/11/2011
S000177586|ACCT|201|3|1981-1982|Winter|5|1/1/1952
S000177586|ENGL|900|missing data|1981-1982|Fall|5|1/1/1952
S000177586|ART|174|I|1981-1982|Fall|5|1/1/1952
S000177586|ENGL|105|3|1981-1982|Fall|5|1/1/1952
S000177586|DP|100|4|1981-1982|Spring|3|1/1/1952
S000177586|MATH|80|I|1982-1983|Fall|5|10/31/1982
S000177586|MATH|60|4|1983-1984|Fall|5|9/30/1983
S000177586|MATH|80|4|1983-1984|Winter|3|1/3/1984
S000177586|BUS|240|2|1983-1984|Spring|5|6/2/1984
S000177586|PHOTO|101|4|1984-1985|Fall|5|11/4/1984
S000177586|LEGAL|205|3|1984-1985|Spring|5|5/15/1985
S000177586|LEGAL|200|3|1986-1987|Fall|5|9/28/1986
S000177586|LEGAL|250|W|1986-1987|Winter|5|1/3/1987
S000177586|FLED|86|S|1991-1992|Fall|2|10/27/1991
S000177586|FLED|88|S|1992-1993|Winter|2|1/15/1993
S000177586|JOURN|125|3.6|2002-2003|Fall|5|10/5/2002
S000177586|LEGAL|205|3.5|2002-2003|Fall|5|10/5/2002
S000177586|PSYCH|290|2|2002-2003|Fall|5|10/5/2002
S000177586|JOURN|225|4|2002-2003|Winter|5|1/3/2003
S000177586|LEGAL|210|4|2002-2003|Winter|5|1/3/2003
S000177586|BUS|130|4|2002-2003|Winter|5|1/3/2003
S000177586|LEGAL|226|4|2002-2003|Spring|5|1/3/2003
S000177586|GEOG|100|3.7|2002-2003|Spring|5|1/3/2003
S000177586|ENGL|205|1.8|2002-2003|Spring|5|1/3/2003
S000177586|LEGAL|267|4|2003-2004|Summer|5|8/2/2003
S000177586|HIST|204|3.4|2003-2004|Summer|5|8/2/2003
S000177586|LEGAL|275|2.8|2003-2004|Summer|5|8/2/2003
S000177586|LEGAL|250|4|2003-2004|Fall|5|11/1/2003
S000177586|LEGAL|240|4|2003-2004|Fall|5|11/1/2003
S000177586|SOCIO|210|3.6|2003-2004|Fall|5|11/1/2003
S000177586|LEGAL|237|4|2003-2004|Winter|5|1/2/2004
S000177586|GEOG|207|4|2003-2004|Winter|5|1/2/2004
S000177586|MGMT|221|3.9|2003-2004|Winter|5|1/2/2004
S000177586|ENRGY|102|3.5|2010-2011|Winter|5|1/11/2011
S000177586|ENRGY|105|4|2010-2011|Winter|3|1/11/2011
S000177586|ENRGY|100|3.8|2010-2011|Winter|3|1/11/2011
S000177586|CIT|110|4|2010-2011|Winter|2|1/11/2011
S000178236|MATH|40|3|1976-1977|Spring|4|2/5/1953
S000178236|ECE|138|U|1976-1977|Spring|2|2/5/1953
S000178236|ACCT|101|3|1976-1977|Spring|5|5/5/1977
S000178236|OFFAD|800|missing data|1977-1978|Fall|5|10/30/1977
S000178236|MATH|100|missing data|1977-1978|Fall|5|10/30/1977
S000178236|OFFAD|101|3|1977-1978|Fall|3|10/30/1977
S000178236|DP|100|1|1977-1978|Fall|3|10/30/1977
S000178236|OFFAD|120|2|1977-1978|Fall|2|10/30/1977
S000178236|MATH|40|3|1977-1978|Fall|1|10/30/1977
S000178236|OFFAD|700|missing data|1977-1978|Winter|5|2/5/1978
S000178236|MATH|100|missing data|1977-1978|Winter|5|2/5/1978
S000178236|OFFAD|900|missing data|1977-1978|Winter|4|2/5/1978
S000178236|OFFAD|102|V|1977-1978|Winter|3|2/5/1978
S000178236|OFFAD|204|V|1977-1978|Winter|1|2/5/1978
S000178236|OFFAD|100|V|1977-1978|Winter|1|2/5/1978
S000178236|PE|142|U|1977-1978|Winter|1|2/5/1978
S000178236|OFFAD|200|3|1977-1978|Winter|1|2/5/1978
S000178236|BUS|130|3|1977-1978|Winter|1|2/5/1978
S000178236|OFFAD|900|W|1977-1978|Spring|5|5/3/1978
S000178236|OFFAD|700|W|1977-1978|Spring|5|5/3/1978
S000178236|OFFAD|700|W|1977-1978|Spring|5|5/3/1978
S000178236|MATH|100|W|1977-1978|Spring|5|5/3/1978
S000178236|MATH|100|W|1977-1978|Spring|5|5/3/1978
S000178236|OFFAD|900|W|1977-1978|Spring|4|5/3/1978
S000178236|PE|135|W|1977-1978|Spring|1|5/3/1978
S000178236|FLED|92|S|1983-1984|Spring|1|6/2/1984
S000178236|FLED|88|S|1986-1987|Fall|2|9/28/1986
S000178236|FLED|90|S|1989-1990|Winter|3|2/17/1990
S000178236|FLED|90|S|1989-1990|Spring|3|4/16/1990
S000178236|FLED|90|S|1990-1991|Fall|3|11/5/1990
S000178236|FLED|90|S|1990-1991|Winter|3|1/27/1991
S000178236|FLED|90|S|1990-1991|Spring|3|5/1/1991
S000178236|FLED|90|S|1991-1992|Fall|3|10/27/1991
S000178236|FLED|90|S|1991-1992|Winter|3|2/2/1992
S000178236|FLED|090L|S|1991-1992|Spring|1|6/2/1992
S000178236|COMSV|71|missing data|1995-1996|Spring|0|5/16/1996
S000178236|ABE|32|S|1996-1997|Fall|7|9/30/1996
S000178236|ABE|32|S|1996-1997|Fall|2|9/30/1996
S000178236|COMSV|72|missing data|1996-1997|Fall|0|9/30/1996
S000178236|ABE|63|S|1996-1997|Winter|7|1/16/1997
S000178236|ABE|63|S|1996-1997|Winter|2|1/16/1997
S000178236|ABE|63|S|1996-1997|Spring|7|5/19/1997
S000178236|ABE|63|S|1996-1997|Spring|1.5|5/19/1997
S000178236|GED|010E|W|1997-1998|Fall|5|10/14/1997
S000178236|GED|010E|W|1997-1998|Fall|2|10/14/1997
S000178236|COMSV|73|missing data|1997-1998|Fall|0|10/14/1997
S000178236|COMSV|073S|missing data|1997-1998|Winter|0|1/21/1998
S000178236|GED|011E|W|1997-1998|Spring|5|4/25/1998
S000178236|GED|011E|W|1997-1998|Spring|2|4/25/1998
S000178236|ABE|65|W|1997-1998|Spring|1|4/25/1998
S000178236|BRDGE|87|3.6|2003-2004|Spring|5|5/26/2004
S000178236|BSTEC|130|3.3|2003-2004|Spring|5|5/26/2004
S000178236|BSTEC|102I|3.1|2003-2004|Spring|2|5/26/2004
S000178236|ACCT|101|W|2004-2005|Summer|5|8/10/2004
S000178236|BSTEC|224|0|2004-2005|Summer|5|8/10/2004
S000178236|BSTEC|107|2.7|2004-2005|Fall|5|11/14/2004
S000178236|ACCT|101|2.2|2004-2005|Fall|5|11/14/2004
S000178236|BSTEC|294|W|2004-2005|Fall|3|11/14/2004
S000178236|BSTEC|224|4|2004-2005|Winter|5|2/22/2005
S000178236|BUS|130|2.8|2004-2005|Winter|5|2/22/2005
S000178236|BSTEC|127I|3.4|2004-2005|Winter|3|2/22/2005
S000178236|BSTEC|110|4|2004-2005|Spring|5|5/24/2005
S000178236|BSTEC|240|2.6|2004-2005|Spring|5|5/24/2005
S000178236|BSTEC|225|2.4|2004-2005|Spring|3|5/24/2005
S000178236|BSTEC|260|4|2005-2006|Winter|5|2/5/2006
S000178236|BSTEC|109|4|2005-2006|Winter|5|2/5/2006
S000178236|BSTEC|108|3.8|2005-2006|Winter|5|2/5/2006
S000178236|BSTEC|120|4|2005-2006|Spring|4|5/25/2006
S000178236|BSTEC|243I|3.9|2005-2006|Spring|4|5/25/2006
S000178236|BSTEC|200|2.8|2005-2006|Spring|3|5/25/2006
S000178236|BSTEC|102I|2.2|2005-2006|Spring|1|5/25/2006
S000178236|BSTEC|222|3.9|2006-2007|Summer|5|7/25/2006
S000178236|BSTEC|210|3.7|2006-2007|Summer|4|7/25/2006
S000178236|BSTEC|226|2.1|2006-2007|Summer|4|7/25/2006
S000178236|BSTEC|294|4|2006-2007|Fall|3|10/28/2006
S000178236|BSTEC|170I|2.5|2006-2007|Fall|3|10/28/2006
S000178236|BSTEC|103I|3.5|2006-2007|Fall|2|10/28/2006
S000178236|ECE|216|4|2009-2010|Fall|5|10/1/2009
S000178236|BUS|291|S|2009-2010|Fall|3|10/1/2009
S000178236|ECE|236|4|2009-2010|Fall|3|10/1/2009
S000178236|BUS|290|S|2009-2010|Fall|1|10/1/2009
S000178236|ECE|110|4|2009-2010|Winter|5|2/5/2010
S000178236|ECE|115|3.9|2009-2010|Winter|5|2/5/2010
S000178236|ECE|238|4|2009-2010|Winter|3|2/5/2010
S000178236|ECE|237|4|2009-2010|Winter|3|2/5/2010
S000178236|ECE|208|4|2009-2010|Spring|5|5/25/2010
S000178236|ECE|239|4|2009-2010|Spring|4|5/25/2010
S000178236|ECE|243|4|2009-2010|Spring|3|5/25/2010
S000178236|ECE|117|4|2009-2010|Spring|2|5/25/2010
S000178236|BSTEC|143I|S|2010-2011|Summer|1|7/10/2010
S000178236|BSTEC|142I|S|2010-2011|Summer|1|7/10/2010
S000178236|ECE|209|4|2010-2011|Fall|5|11/27/2010
S000178236|ECE|218|4|2010-2011|Fall|4|11/27/2010
S000178236|ECE|210|4|2010-2011|Winter|5|1/11/2011
S000178236|ECE|249|4|2010-2011|Winter|3|1/11/2011
S000178236|EDUC&|203|4|2010-2011|Winter|3|1/11/2011
S000178236|ECE|134|4|2010-2011|Winter|2|1/11/2011
S000186924|BUS|130|4|2010-2011|Fall|5|11/27/2010
S000186924|BRDGE|90|3.8|2010-2011|Fall|5|11/27/2010
S000186924|BSTEC|100|3.8|2010-2011|Fall|4|11/27/2010
S000186924|JOBDV|130|4|2010-2011|Fall|1|11/27/2010
S000186924|ENRGY|102|1.7|2010-2011|Winter|5|1/11/2011
S000186924|ENRGY|100|3.5|2010-2011|Winter|3|1/11/2011
S000186924|ENRGY|105|1.4|2010-2011|Winter|3|1/11/2011
S000186924|CIT|110|4|2010-2011|Winter|2|1/11/2011
S000204528|MATH|040J|4|2009-2010|Winter|5|2/5/2010
S000204528|CIS|100|4|2009-2010|Winter|5|2/5/2010
S000204528|JOBDV|130|S|2009-2010|Winter|2|2/5/2010
S000204528|CIS|162|3.9|2009-2010|Spring|5|5/25/2010
S000204528|CIS|125|3.3|2009-2010|Spring|5|5/25/2010
S000204528|MATH|60|3.1|2009-2010|Spring|5|5/25/2010
S000204528|BSTEC|110|4|2010-2011|Summer|5|7/10/2010
S000204528|CIS|102|4|2010-2011|Summer|5|7/10/2010
S000204528|CIS|163|3.9|2010-2011|Summer|5|7/10/2010
S000204528|CIS|253|4|2010-2011|Fall|5|11/27/2010
S000204528|CIS|161|4|2010-2011|Fall|5|11/27/2010
S000204528|CIS|250|3.5|2010-2011|Fall|5|11/27/2010
S000204528|CIS|233|4|2010-2011|Winter|5|1/11/2011
S000204528|CIS|171|3.4|2010-2011|Winter|5|1/11/2011
S000204528|CIS|114|2.2|2010-2011|Winter|5|1/11/2011
S000316296|MATH|80|V|1987-1988|Summer|2|6/1/1987
S000316296|ECE|110|4|2007-2008|Winter|5|1/15/2008
S000316296|ECE|238|4|2007-2008|Winter|3|1/15/2008
S000316296|ECE|120|3.6|2007-2008|Spring|5|4/18/2008
S000316296|ECE|239|4|2007-2008|Spring|4|4/18/2008
S000316296|ECE|241|4|2007-2008|Spring|3|4/18/2008
S000316296|ENGL|105|4|2008-2009|Summer|5|8/5/2008
S000316296|SHS|100|S|2008-2009|Summer|1|8/5/2008
S000316296|ECE|208|4|2008-2009|Winter|5|1/15/2009
S000316296|ECE|237|4|2008-2009|Winter|3|1/15/2009
S000316296|ECE|234|3.8|2008-2009|Winter|3|1/15/2009
S000316296|ECE|209|4|2008-2009|Spring|5|5/26/2009
S000316296|ECE|280|4|2008-2009|Spring|4|5/26/2009
S000316296|ECE|255|4|2008-2009|Spring|3|5/26/2009
S000316296|ECE|134|W|2008-2009|Spring|2|5/26/2009
S000316296|ECE|216|4|2009-2010|Fall|5|10/1/2009
S000316296|ECE|218|4|2009-2010|Fall|4|10/1/2009
S000316296|ECE|236|4|2009-2010|Fall|3|10/1/2009
S000316296|ECE|210|4|2009-2010|Winter|5|2/5/2010
S000316296|ECE|115|3.6|2009-2010|Winter|5|2/5/2010
S000316296|ECE|243|4|2009-2010|Spring|3|5/25/2010
S000316296|ECE|117|4|2009-2010|Spring|2|5/25/2010
S000316296|ECE|155|S|2009-2010|Spring|1|5/25/2010
S000316296|ART|150|4|2010-2011|Summer|5|7/10/2010
S000316296|ECE|298|4|2010-2011|Fall|5|11/27/2010
S000316296|ECE|248|4|2010-2011|Fall|3|11/27/2010
S000316296|ECE|134|4|2010-2011|Fall|2|11/27/2010
S000316296|ECE|249|3.6|2010-2011|Winter|3|1/11/2011
S000411818|BRDGE|115|V|2003-2004|Spring|5|5/26/2004
S000411818|BUS|130I|3.7|2006-2007|Summer|5|7/25/2006
S000411818|BSTEC|100|3.6|2006-2007|Summer|4|7/25/2006
S000411818|SHS|117|W|2006-2007|Summer|2|7/25/2006
S000411818|JOBDV|130|S|2006-2007|Summer|2|7/25/2006
S000411818|SHS|100|W|2006-2007|Summer|1|7/25/2006
S000411818|AHE|115|S|2006-2007|Summer|1|7/25/2006
S000411818|SHS|116|3|2006-2007|Fall|3|10/28/2006
S000411818|SHS|107|4|2006-2007|Fall|2|10/28/2006
S000411818|SHS|111|S|2006-2007|Fall|1|10/28/2006
S000411818|ART|170|W|2007-2008|Fall|5|10/31/2007
S000411818|BRDGE|115|W|2007-2008|Fall|5|10/31/2007
S000411818|CCLS|105|W|2007-2008|Fall|2|10/31/2007
S000411818|JOBDV|130|S|2007-2008|Fall|2|10/31/2007
S000411818|ACD|249|3.9|2007-2008|Fall|2|10/31/2007
S000411818|ACD|244|3.9|2007-2008|Fall|2|10/31/2007
S000411818|SHS|260|3.5|2007-2008|Fall|2|10/31/2007
S000411818|MATH|060I|1.7|2007-2008|Fall|2|10/31/2007
S000411818|HUM|160|S|2007-2008|Fall|1|10/31/2007
S000411818|SHS|111|S|2007-2008|Fall|1|10/31/2007
S000411818|POLSC|101|0|2007-2008|Winter|5|1/15/2008
S000411818|SHS|114|V|2007-2008|Winter|4|1/15/2008
S000411818|ACD|140|2.5|2007-2008|Winter|4|1/15/2008
S000411818|CCLS|105|U|2007-2008|Winter|2|1/15/2008
S000411818|ANTHR|101L|3.7|2008-2009|Winter|3|1/15/2009
S000411818|HORT|249|3.5|2008-2009|Winter|3|1/15/2009
S000411818|ANTHR|101|3.7|2008-2009|Winter|2|1/15/2009
S000411818|ENGL|105|1.6|2008-2009|Spring|5|5/26/2009
S000411818|ANTHR|102L|4|2008-2009|Spring|3|5/26/2009
S000411818|ANTHR|102|4|2008-2009|Spring|2|5/26/2009
S000411818|WRITE|101|S|2008-2009|Spring|1|5/26/2009
S000411818|MATH|060I|2.3|2009-2010|Summer|5|7/26/2009
S000411818|CONST|141|2.8|2009-2010|Summer|4|7/26/2009
S000411818|ANTH|198|4|2009-2010|Summer|3|7/26/2009
S000411818|GEOL&|101|2.2|2009-2010|Fall|5|10/1/2009
S000411818|CONST|200|3.8|2009-2010|Fall|4|10/1/2009
S000411818|MATH|080I|V|2009-2010|Fall|3|10/1/2009
S000411818|CONST|280|3.8|2008-2009|Fall|3|11/8/2009
S000411818|BSTEC|129|3.3|2008-2009|Fall|3|11/8/2009
S000411818|HUM|108|3.5|2009-2010|Winter|5|2/5/2010
S000411818|ENGL&|101|2.8|2009-2010|Winter|5|2/5/2010
S000411818|PE|102|4|2009-2010|Winter|2|2/5/2010
S000411818|MATH|80|2.8|2009-2010|Spring|5|5/25/2010
S000411818|ENVS&|101|3.1|2009-2010|Spring|4|5/25/2010
S000411818|PE|103|4|2009-2010|Spring|2|5/25/2010
S000411818|ENVS&|101L|3.1|2009-2010|Spring|1|5/25/2010
S000411818|PHIL&|101|2.6|2010-2011|Summer|5|7/10/2010
S000411818|PHYS&|100|0|2010-2011|Summer|4|7/10/2010
S000411818|PHYS&|101L|1|2010-2011|Summer|1|7/10/2010
S000411818|MATH|91|W|2010-2011|Fall|5|11/27/2010
S000411818|ENGL&|102|3.6|2010-2011|Fall|5|11/27/2010
S000411818|MATH|91|3.2|2010-2011|Winter|5|1/11/2011
S000411818|SPAN&|121|2.6|2010-2011|Winter|5|1/11/2011
S000411818|SPAN|100|3.6|2010-2011|Winter|2|1/11/2011
S000468934|CIS|233|3.4|2010-2011|Winter|5|1/11/2011
S000468934|CIS|266|0.7|2010-2011|Winter|5|1/11/2011
S000468934|CIS|265|0.7|2010-2011|Winter|5|1/11/2011
S000484761|BRDGE|97|W|1987-1988|Spring|5|5/17/1988
S000484761|HIST|41|W|1987-1988|Spring|5|5/17/1988
S000484761|HIST|34|W|1987-1988|Spring|5|5/17/1988
S000484761|GED|10|S|1996-1997|Fall|2|9/30/1996
S000484761|ACCT|101|W|2010-2011|Fall|5|11/27/2010
S000484761|BRDGE|93|4|2010-2011|Fall|5|11/27/2010
S000484761|CCLS|100|S|2010-2011|Fall|2|11/27/2010
S000484761|BUS|130|4|2010-2011|Winter|5|1/11/2011
S000484761|BSTEC|107|2.7|2010-2011|Winter|5|1/11/2011
S000484761|BSTEC|130|2.5|2010-2011|Winter|5|1/11/2011
S000497916|BRDGE|90|3.4|2009-2010|Spring|5|5/25/2010
S000497916|SHS|121|4|2009-2010|Spring|3|5/25/2010
S000497916|SHS|165|3.6|2009-2010|Spring|3|5/25/2010
S000497916|SHS|100|4|2009-2010|Spring|1|5/25/2010
S000497916|BRDGE|93|3.9|2010-2011|Summer|5|7/10/2010
S000497916|MATH|40|2.3|2010-2011|Summer|5|7/10/2010
S000497916|SHS|112|2.3|2010-2011|Summer|3|7/10/2010
S000497916|SHS|111|W|2010-2011|Summer|1|7/10/2010
S000497916|BUS|130|3.9|2010-2011|Fall|5|11/27/2010
S000497916|BRDGE|115|3.4|2010-2011|Fall|5|11/27/2010
S000497916|WRITE|101|S|2010-2011|Fall|1|11/27/2010
S000497916|SHS|170|4|2010-2011|Fall|1|11/27/2010
S000497916|ENGL|100|2.7|2010-2011|Winter|5|1/11/2011
S000530049|MATH|60|3.8|2010-2011|Fall|5|11/27/2010
S000530049|BRDGE|87|3.7|2010-2011|Fall|5|11/27/2010
S000530049|BRDGE|93|4|2010-2011|Winter|5|1/11/2011
S000530049|MATH|80|2.8|2010-2011|Winter|5|1/11/2011
S000530049|PE|111|4|2010-2011|Winter|2|1/11/2011
S000565152|FLED|86|S|1985-1986|Winter|2|2/14/1986
S000565152|FLED|90|S|1988-1989|Fall|3|12/1/1988
S000565152|FLED|90|S|1988-1989|Winter|3|1/25/1989
S000565152|FLED|90|S|1988-1989|Spring|3|4/18/1989
S000565152|FLED|90|S|1991-1992|Spring|3|6/2/1992
S000565152|HORT|107|3.8|2007-2008|Winter|2|1/15/2008
S000565152|HORT|107|3.6|2007-2008|Winter|2|1/15/2008
S000565152|HORT|108|4|2007-2008|Spring|3|4/18/2008
S000565152|HORT|108L|4|2007-2008|Spring|2|4/18/2008
S000565152|HORT|207|4|2008-2009|Summer|3|8/5/2008
S000565152|HORT|255|S|2008-2009|Summer|1|8/5/2008
S000565152|HORT|255|4|2008-2009|Summer|1|8/5/2008
S000565152|HORT|117|4|2008-2009|Winter|3.5|1/15/2009
S000565152|HORT|109|4|2008-2009|Winter|3|1/15/2009
S000565152|HORT|109L|4|2008-2009|Winter|2|1/15/2009
S000565152|HORT|118|3.9|2008-2009|Spring|5|5/26/2009
S000565152|HORT|191|4|2008-2009|Spring|2|5/26/2009
S000565152|HORT|287|3.8|2008-2009|Spring|2|5/26/2009
S000565152|HORT|212|4|2009-2010|Summer|3.5|7/26/2009
S000565152|HORT|255|4|2009-2010|Summer|2|7/26/2009
S000565152|HORT|102|3.7|2009-2010|Fall|4|10/1/2009
S000565152|HORT|224|4|2009-2010|Fall|3|10/1/2009
S000565152|HORT|103|4|2009-2010|Fall|2.5|10/1/2009
S000565152|HORT|106|4|2008-2009|Fall|3|11/8/2009
S000565152|HORT|213|4|2008-2009|Fall|2.5|11/8/2009
S000565152|HORT|106L|4|2008-2009|Fall|2|11/8/2009
S000565152|HORT|255|4|2008-2009|Fall|1|11/8/2009
S000565152|HORT|262|3.9|2009-2010|Winter|6|2/5/2010
S000565152|HORT|278|3.6|2009-2010|Winter|4|2/5/2010
S000565152|HORT|263|3.9|2009-2010|Spring|6|5/25/2010
S000565152|HORT|211|W|2009-2010|Spring|3.5|5/25/2010
S000565152|HORT|210|4|2010-2011|Summer|3|7/10/2010
S000565152|HORT|269|4|2010-2011|Fall|3|11/27/2010
S000565152|HORT|174|3.8|2010-2011|Fall|3|11/27/2010
S000565152|HORT|110|3.6|2010-2011|Fall|3|11/27/2010
S000565152|HORT|227|4|2010-2011|Winter|3|1/11/2011
S000565152|HORT|279|3.7|2010-2011|Winter|3|1/11/2011
S000565152|HORT|255|3.5|2010-2011|Winter|3|1/11/2011
S000565152|HORT|283|S|2010-2011|Winter|1|1/11/2011
S000579567|ART|170|3.5|1998-1999|Winter|5|2/2/1999
S000579567|ECE|150|S|1999-2000|Winter|2|1/17/2000
S000579567|LEGAL|267|3.6|2003-2004|Summer|5|8/2/2003
S000579567|LEGAL|210|3.2|2003-2004|Summer|5|8/2/2003
S000579567|LEGAL|296|S|2003-2004|Summer|2|8/2/2003
S000579567|LEGAL|296|S|2003-2004|Summer|1|8/2/2003
S000579567|LEGAL|226|3.9|2003-2004|Fall|5|11/1/2003
